orgnr,name,org_form,status,freshness_status,industry_code,industry_description,employee_count,ceo_name,board_chair,revenue,currency,latest_financial_year,last_verified_at
915494935,2RBE1 AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
992017015,07365 DOKVA AS,AS,Active / Operating,CURRENT,42.210,Bygging av vann- og kloakkanlegg,,,Henrik Bjarte Reigstad,478935.0,NOK,2025,2026-09-14T10:08:10.911811+00:00
915330193,1VASK AS,AS,In Bankruptcy,CURRENT,81.210,Rengjøring av bygninger,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
925922196,07000 MOBILITY AS,AS,Active / Operating,CURRENT,73.110,Reklamebyråvirksomhet,,Jan Olaf Nordbye Valeur,Nils Børge Øvstedal,5274759.0,NOK,2025,2026-09-14T10:08:11.180602+00:00
991310517,3DTO1 AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.558282+00:00
919637439,2RE EIENDOM AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
926116002,075X INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,Bendik Norheim Schei,,NOK,2025,2026-09-14T10:08:10.911811+00:00
919953586,2RE HOLDING AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
929455614,1X HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
999127800,3DVERKET AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:28.558282+00:00
825769242,08 OSLO MARITIME AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,Hans-Christian Opsann,Hans-Christian Opsann,717079.0,NOK,2025,2026-09-14T10:08:11.183309+00:00
930346942,2REM EIENDOM AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
936133711,0805 SKR-HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,Sturla Kjetil Rambjør,0.0,NOK,2025,2026-09-14T10:08:11.186876+00:00
913504119,2RENT NORWAY AS,AS,Active / Operating,CURRENT,47.820,Detaljhandel med deler og utstyr til motorvogner,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
920273068,3DVIBBER AS,AS,Active / Operating,CURRENT,71.121,Byggeteknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.558282+00:00
997021126,2 ANNE FRISØR AS,AS,Active / Operating,CURRENT,96.210,Frisering og barbering,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
921581343,3E INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:28.558790+00:00
937276850,0815 ADVENTURES AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,René Rösner,,NOK,,2026-09-14T10:08:11.187963+00:00
936534112,2 BRØDRE HOLDING AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
936562922,2RVE EIENDOM AS,AS,Active / Operating,CURRENT,68.110,Kjøp og salg av egen fast eiendom,,,,,NOK,,2026-09-14T10:08:24.631063+00:00
